feature,family,ic_mean,ic_t,ic_pos_years,ic_min_year,raw_ic_mean,auc,acc,precision,recall,f1,pred_up_ratio,top10_excess_bp,top10_t,trees_median,const_within_day,ic_2019,ic_2020,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025
ret_lag_1,momentum,0.020312670415584412,4.800851695368875,7,0.004419318418394581,-0.022879765460870064,0.5085008821768842,0.5056380688245813,0.5034734917733089,0.4378057131676776,0.46834896589615793,0.43249522558357356,22.405624,3.704207842343005,12,False,0.02164679911714184,0.03784346853312864,0.021788100983355197,0.004419318418394581,0.019117056772845763,0.019334880837764034,0.018069038787129003
ret_z_60,stats,0.019637913972945367,4.673903537320937,7,0.003300527357051631,-0.021588165137784245,0.5077645077825077,0.5066537727012858,0.504673029338989,0.4364728037566034,0.46810184851246883,0.4301536328139255,-1.1877912,-0.2775733891408807,22,False,0.0283335668309984,0.036681042716735626,0.021908757202273994,0.003300527357051631,0.008578413765503987,0.02584358003892475,0.012767718449701926
wma_ratio_5,trend,0.021803020328175826,3.726237174129477,6,-0.0017468700839620914,-0.025129738269574188,0.5091079163963178,0.5062584388570595,0.5041475295755046,0.44295392291136765,0.4715738221394816,0.43699594934861147,22.219252,3.328113039143244,11,False,0.03165588238013023,0.02401844998463636,0.0198279342341818,-0.0017468700839620914,0.03089596113675117,0.030836792631483347,0.017656380622484525
close_pos,candle,0.015324558553179584,3.718205662583914,5,-0.004335080900632705,-0.018886773273646604,0.5079352365382084,0.5057779561848459,0.5035648780218719,0.44652465270984154,0.47333251236316265,0.4410283545597197,3.093318,0.7356167201589745,27,False,0.03383121397241308,0.03636194138379913,0.013095362585395289,-0.00011257038527800999,-0.004335080900632705,0.019218259069945155,0.00904912009821659
ret_z_20,stats,0.015084942895613603,3.6842127901530946,6,-0.004834780021943209,-0.01955838043410164,0.506840691508628,0.5045858725930251,0.502283429839662,0.4317281353942477,0.4643409068490449,0.4275018550280383,-0.84523255,-0.20164937723080487,12,False,0.020236087731613443,0.02931311946995858,0.025000648384138045,-0.004834780021943209,0.00929785380613373,0.02089676049205209,0.005746350630591417
body_range,candle,0.014933984252091831,3.6586170308964743,5,-0.0050686768461721075,-0.017367584181058174,0.5076780457271055,0.5057840382439879,0.5037604901704562,0.4242809626296224,0.4606173249253236,0.4188957413421888,-0.14445016,-0.036192741786189454,16,False,0.033304598979571456,0.0290125641231311,0.023219735361816318,-0.0050686768461721075,0.007778745863059501,0.01855917452757224,-0.002159185908672082
sma_ratio_5,trend,0.021842409416293562,3.5878058485949955,7,0.007142987215642961,-0.024451755996305606,0.5092886939344439,0.5069153012443893,0.50516689663271,0.4208447466249266,0.4591666555482915,0.41434636110401535,20.496527,2.8161732553490126,13,False,0.0313007910283193,0.028764339014003982,0.019931311706703158,0.007142987215642961,0.026363887823672428,0.02809281343035549,0.011560925011693236
stoch_d_60_3,momentum,0.01827576144082073,3.2911076469479914,6,-0.004815032176925498,0.019693234743941163,0.5080910312119565,0.5067510856475569,0.5049284393518046,0.4240853062023087,0.4609893725200885,0.41773406804607766,12.963393,1.5298366778521615,47,False,0.03225489656063237,0.008519057675557594,-0.004815032176925498,0.0051118831642980546,0.02425426470581727,0.03004368056731844,0.03312741042761887
cci_60,momentum,0.01521641380015718,3.1030075379774007,5,-0.0051908316897802545,0.008563132370119759,0.5047135926902568,0.5053096376309163,0.5039012625904383,0.34748581490901975,0.41132534306062185,0.3429794791324551,-2.2542708,-0.3865512863023497,0,False,-0.0051908316897802545,0.0015986107437460854,0.004789432047760134,0.029973662433702915,-0.0011959369697543134,0.04506112344395126,0.03115903121373798
vwap_ratio_5,volume,0.018377481290119565,3.082144402279876,6,-0.001972442529741569,-0.024241253992274548,0.5078246735928897,0.50619761826564,0.5041423966521518,0.4360570338485619,0.467634484748341,0.43019620722791907,13.7168255,2.044241540495629,11,False,0.03822502281291835,0.01831542876386878,0.008867377427374323,-0.001972442529741569,0.029643497890923444,0.027149597705557315,0.009011992530374978
dist_high_20,volatility,0.017074546724732752,2.9888206272255653,7,0.007254913926531937,-0.01752810158903566,0.5073690690837555,0.5058387767762653,0.5041090336363778,0.39531158286049695,0.4431300247424659,0.39002420659538495,11.223194,1.3345415874700886,33,False,0.010176632208502403,0.011331564122703664,0.018115103758741518,0.010083980292210954,0.007254913926531937,0.03933297198081233,0.02325886674887989
up_ratio_60,momentum,0.017948110655308477,2.9851962142190747,6,-0.0009636670730982133,0.03454879723727468,0.5082979376411699,0.5040749796251018,0.5020197371785039,0.36017902563099197,0.41943224134370977,0.3568404919169434,28.3423,2.8438047254781122,23,False,-0.0009636670730982133,0.016615102922882652,0.006266652205962289,0.004221926851757868,0.03855562383808107,0.03963635964066154,0.021773767848353196
ema_ratio_5,trend,0.019269620356664796,2.9282277022576277,7,0.0015137168260941703,-0.021039010693163065,0.5075586817553628,0.505559002055736,0.503677538725018,0.4027954412052436,0.4476228656071426,0.39774842170565267,11.248521,1.5377987918728517,10,False,0.031110740519461538,0.036562089169005614,0.015935979978789417,0.0015137168260941703,0.028624531113718325,0.019409458311265074,0.0019886187291338663
ema_ratio_120,trend,0.01911607597583964,2.8908040298829345,5,-0.02414993948878023,0.020214290001605947,0.5142208328084743,0.5070734347820798,0.5049490183317062,0.4554025630991978,0.4788976904480222,0.4485640258365872,13.765308,1.5911217596899059,22,False,-0.007359292984459899,-0.02414993948878023,0.01696545951031973,0.030996100598162487,0.036204085985529245,0.017049361881729588,0.06455806717729744
hurst_120,stats,0.013190004223748206,2.8761633027077442,6,-0.0006072878791380569,0.012947288632725635,0.5052447770320264,0.506732839470131,0.5067886064219814,0.3076452748972804,0.38286992649408763,0.30192557992433916,14.227979,2.199692296001925,13,False,0.024324713177031984,0.006010063445413596,0.020649697604320984,-0.0006072878791380569,0.011812760747734437,0.009280326009855977,0.021174931154783874
donchian_pos_5,volatility,0.01666745645976013,2.8419611541858516,6,-0.004068625966476265,-0.018563538823522744,0.507423880974005,0.5060151564913817,0.5040344817577569,0.42470896106437095,0.4609840591444233,0.419090367234731,-3.2185385,-0.6772940600315271,18,False,0.029012162951286714,0.03889952543283369,0.008214025639268284,-0.004068625966476265,0.014245861705235247,0.017849835977948394,0.012642473427952798
