,gain_mean,perm_mean,rank_mean,rank_std,family
close_pos,0.021749992662016063,0.009629146981801827,2.5,1.9748417658131499,candle
obv_slope_60,0.021342208990425476,0.0055337137327066,2.6666666666666665,1.632993161855452,volume
upper_shadow_ma20,0.016337120183182955,0.0022828567924926516,10.166666666666666,8.256310717667224,candle
cs_excess_roc_5,0.011179732939852334,0.004966265370249344,13.166666666666666,11.68617416722285,cross_section
gk_vol_120,0.01144185301550639,0.0034180117712984126,14.0,13.66747965061591,volatility
upper_shadow,0.013463800276636914,0.0024969277471466786,14.0,11.983321743156194,candle
up_ratio_60,0.01730148742263113,0.00160285277578382,14.333333333333334,14.052283325732748,momentum
parkinson_120,0.01037589939041511,0.003004030783691627,18.5,9.813256340277675,volatility
ret_std_120,0.013138621611934131,0.0014125196579633575,21.5,20.59854363784003,volatility
updown_mag_ratio_20,0.007591453848862467,0.001760688945627235,29.666666666666668,23.585306160121533,stats
pv_corr_20,0.011546293979446814,0.0012049480929047845,36.0,29.752310834622577,volume
sma_cross_20_120,0.007751242785417198,0.0012722447527221032,36.833333333333336,36.49885842963676,trend
dist_low_120,0.008108769909130205,0.0005394493364187452,40.833333333333336,17.904375629065278,volatility
gk_vol_10,0.006060716796684684,0.0008729196734413733,41.166666666666664,26.776233242684953,volatility
body_range_ma5,0.007842736660026791,0.0014404756416866633,43.0,27.02591349057419,candle
up_ratio_120,0.005821532569518829,0.0011287847161559246,43.5,26.553719136874218,momentum
donchian_pos_5,0.006460867107556539,0.0013661415633338854,44.5,27.80467586576042,volatility
sma_ratio_5,0.004955782723912167,0.0011820926235328354,45.666666666666664,31.45578908033729,trend
lower_shadow_ma5,0.011359871004888944,0.0007644960814490793,46.0,65.01692087449236,candle
cs_rank_roc_5,0.006250044222750104,0.0017652729521961952,46.5,32.30325061042619,cross_section
hurst_120,0.011610534868343592,0.00044979219385431353,48.0,66.88796603276258,stats
mkt_roc_20,0.006991610263867725,0.00038051558753772317,49.583333333333336,16.50580705893131,cross_section
linreg_slope_60,0.006266350681534975,0.000472045070813418,51.166666666666664,23.684734886982937,trend
gap_ma5,0.004859984119632015,0.00063224856799292,53.5,26.972207918522354,candle
upper_shadow_ma5,0.012914514180618874,0.0002441790541373538,55.666666666666664,73.47834148010328,candle
kurt_60,0.022909404821531174,0.0006387694787459215,58.333333333333336,82.71074093892925,stats
cs_rank_roc_120,0.004414855662677166,0.0006569978992336923,58.5,39.988748417523645,cross_section
lower_shadow,0.0057438081804148085,0.00021626611272925386,60.0,15.760710643876436,candle
ev_days_since_spike3,0.00844798309617121,0.0003436068022525261,60.333333333333336,64.75698160558957,event
mdi_14,0.0076023749398723495,0.00027433019593593575,61.0,52.00769173881879,trend
cumret_ex1_120,0.007166102100442176,0.000570827184200552,61.333333333333336,49.71384783605737,stats
uo_7_14_28,0.010757815394947119,0.00012094890571582674,62.5,71.70983196187257,momentum
cs_rank_ret_std_60,0.005093674553966026,0.000379999079755253,63.833333333333336,32.7439561853278,cross_section
aroon_dn_25,0.007616627095625842,0.0002006847946264021,64.33333333333333,44.297479236031776,trend
body_range_ma20,0.008227456266212504,0.0002148457163276336,64.66666666666667,64.3200331674873,candle
skew_20,0.004205276930656133,0.0005015720990415462,65.0,39.81457019735363,stats
autocorr_20,0.007719287936334054,7.140720091906398e-05,69.66666666666667,47.034738934819934,stats
ret_std_20,0.008953181334930518,0.0004859692597810852,69.83333333333333,84.26486021270473,volatility
ret_lag_7,0.007616046755833727,0.00010840207083462339,69.83333333333333,72.78850641871055,momentum
mkt_roc_60,0.009940826842227898,-0.00023767966454198608,71.0,82.73572384405662,cross_section
cs_idio_std_60,0.019760319221942824,7.810028093283949e-05,73.5,107.02663219965393,cross_section
mdd_60,0.008767608252947203,-0.00015988067981551364,73.66666666666667,80.54232841597432,volatility
lower_shadow_ma20,0.011974361705957523,0.00026735734087327917,73.83333333333333,90.00314809308988,candle
cs_rank_ret_std_20,0.003888393773877673,0.0004279051765744156,74.5,34.21549356651165,cross_section
gk_vol_60,0.004952112792219425,0.0004248922145103023,74.66666666666667,36.95763340186526,volatility
close_pos_ma5,0.006604792107731609,0.00010924139598106956,74.83333333333333,54.37431991911868,candle
kurt_20,0.006493139460493166,9.090536970527789e-05,75.66666666666667,45.41218632335011,stats
cmf_20,0.004926210208115712,0.0003474806106206454,77.5,51.81023064994017,volume
ret_lag_6,0.003982863955547664,0.0005004314776887206,79.5,45.71542409296889,momentum
vol_z_20,0.005413418107827988,0.00016545465963404809,80.16666666666667,49.91359200324764,volume
force_13,0.0028060159466848796,0.0003834209438137787,81.33333333333333,46.6075816436196,volume
linreg_slope_120,0.02024864766602495,-0.00028948109088684006,82.16666666666667,114.36330996725596,trend
eom_14,0.016376427383435917,-0.00037980538933690683,83.33333333333333,112.67771149019076,volume
pdi_28,0.00431838586479441,0.0002643658999667749,87.33333333333333,47.73957128700117,trend
body_range,0.004894099754094567,-5.442700757212697e-05,87.66666666666667,74.87767802667672,candle
cs_beta_60,0.013258418762927257,-0.00040821331736984323,88.0,102.56705123966468,cross_section
mdd_20,0.002155395271272834,0.0004730780863782597,88.33333333333333,63.70452626514592,volatility
adx_28,0.007774036655747721,-8.666570165800143e-05,88.33333333333333,77.17426168527086,trend
stochrsi_14,0.0034111390390742804,0.00033814042822193855,89.66666666666667,49.102613643946356,momentum
parkinson_60,0.0068674321073930455,0.0003287141611928693,89.83333333333333,74.81287767935856,volatility
ev_vol_pctile250,0.0072498116008112784,9.899732496284266e-06,90.0,72.0749609781372,event
pv_corr_60,0.013667173607594509,-0.0007947333078781593,92.33333333333333,99.71091548404651,volume
ret_lag_9,0.003556476241567129,5.739692732099745e-05,94.16666666666667,20.875024950084892,momentum
parkinson_5,0.0056173087489870014,-2.556713522963407e-05,95.0,63.84355879804947,volatility
gap_ma20,0.008213168268871468,-0.0002117036273179644,95.83333333333333,96.65695353499751,candle
cs_excess_roc_10,0.0025113797212618395,0.0001744720246687296,96.33333333333333,45.588010119621,cross_section
obv_slope_10,0.0031133013248831193,0.00016801567738850616,97.66666666666667,41.61570216476789,volume
close_pos_ma20,0.007831179092256356,-0.00026440894228204253,98.0,84.40616091257793,candle
adx_14,0.0048618888236139435,5.830081594023392e-05,101.0,54.468339427597755,trend
