,gain_mean,perm_mean,rank_mean,rank_std,family
close_pos,0.09682674848375811,0.007704894692226387,2.5,1.6431676725154984,candle
upper_shadow,0.04495052212101763,0.004212036408838173,3.5,1.6431676725154984,candle
body_range,0.031075875702489184,0.0014938242077493873,4.833333333333333,1.3291601358251257,candle
lower_shadow,0.026114993436897868,0.0012154879417124824,6.5,2.16794833886788,candle
gap,0.026338429274091982,0.0005443518577893628,7.0,1.2649110640673518,candle
ret_lag_1,0.01381153900958343,0.0013441503697273728,8.0,4.732863826479693,momentum
up_ratio_120,0.013622724622888457,0.00031421786182540666,11.666666666666666,4.226897995772629,momentum
ret_z_60,0.006146923544451298,0.0003382591321764439,14.5,7.739509028355739,stats
up_ratio_60,0.005600159630252163,0.0001729229748142306,16.5,3.2093613071762426,momentum
wma_ratio_5,0.004787210567183735,0.00018867757501971213,19.0,6.164414002968976,trend
dow_0,0.014490403618884087,7.037948378502751e-05,19.166666666666668,11.856081421222893,stats
ret_z_20,0.0039227013326028435,0.000240104623505112,24.666666666666668,15.409953493332374,stats
cs_excess_roc_120,0.0020556454982900746,0.00022881293138716293,31.333333333333332,22.33980005878895,cross_section
upper_shadow_ma5,0.0023086153105657246,0.00012031841912000611,31.833333333333332,17.151287609583914,candle
sma_ratio_5,0.002725835403783072,9.631369064440803e-05,32.833333333333336,11.214573851318056,trend
bb_bw_20,0.003411545340886771,4.7016258879274536e-05,37.666666666666664,15.654605286198265,volatility
mkt_roc_20,0.1048998669844166,5.112242059258766e-05,38.0,79.42795477664019,cross_section
cs_rank_roc_5,0.0034371663458161988,4.1516790816912653e-05,39.333333333333336,19.846074338938337,cross_section
ret_lag_3,0.00501319671409763,2.128101158619759e-05,39.333333333333336,20.04661234888994,momentum
ao_5_34,0.00511354208687913,2.227766177072728e-05,40.5,24.95395760195164,momentum
ret_std_60,0.002169446428229981,0.0001037609080283645,40.833333333333336,21.894443739603584,volatility
vol_sma_ratio_5,0.004985365319030345,2.0905236493352754e-05,41.5,27.4135003237456,volume
turnover_z_60,0.004181006732020708,2.6895157147167738e-05,43.5,25.20119044807209,volume
close_pos_ma20,0.0015383147441869166,9.107515178047926e-05,46.833333333333336,26.88060019171199,candle
bb_bw_60,0.002078332764070526,3.8130941879568584e-05,46.833333333333336,10.703581954965667,volatility
cci_14,0.004930356022748787,0.00011350647466355932,47.833333333333336,70.28062796152767,momentum
ret_std_20,0.0015580587257086175,6.843089248477331e-05,52.166666666666664,25.941601081403334,volatility
macd_hist_12_26_9,0.0016887567641884732,5.443931147457941e-05,52.833333333333336,17.758566008173823,trend
ret_lag_2,0.010660892099027439,5.707689394353189e-06,55.833333333333336,67.2886815643364,momentum
macd_hist_5_35_5,0.0012372614378613044,0.00010777091577434609,56.333333333333336,47.2976391236039,trend
atr_ratio_14,0.0014622853938387268,0.00011428833608230337,56.333333333333336,38.87244096614807,volatility
mdd_60,0.0029966728910433018,4.062875588436062e-05,56.833333333333336,62.04971125369293,volatility
hurst_120,0.0034782082214129643,2.7001583254600742e-05,57.0,59.77290356005805,stats
roc_5,0.0022167027634339073,2.82404707104833e-05,58.333333333333336,27.78248848945441,momentum
sma_ratio_10,0.0015789418935216821,4.8027980482522205e-05,59.333333333333336,28.03331351564896,trend
aroon_dn_25,0.0023372799500351355,2.7026337428286913e-05,60.25,34.31872666635521,trend
dist_low_120,0.0023054149560455903,4.787372998507313e-05,62.333333333333336,57.677262995626506,volatility
kurt_60,0.002054020942552652,8.234644281858286e-05,63.166666666666664,59.73748125479234,stats
ema_ratio_5,0.0024198111613801905,0.0001206070494175821,63.5,71.95762641999804,trend
skew_60,0.0030906667400198568,1.8302427744945304e-05,64.0,58.03102618427491,stats
ret_lag_5,0.002470510738706233,9.123681169046863e-06,64.33333333333333,31.828708215487893,momentum
pv_corr_20,0.002819055337986004,4.844408635524328e-06,64.83333333333333,42.17779826717685,volume
mkt_roc_60,0.15105020437686734,0.00013067189437500194,67.0,99.17862672975463,cross_section
ret_lag_9,0.002684173327211692,1.373284095636714e-05,68.58333333333333,41.504718607245934,momentum
cs_rank_ret_std_20,0.001005696540816517,5.980077922839043e-05,69.83333333333333,41.75843228219502,cross_section
cs_excess_roc_5,0.0036522374031303802,2.507749353459272e-06,71.75,67.45350250357649,cross_section
dow_3,0.021546205571498386,6.570801757514315e-07,71.83333333333333,92.50819783493064,stats
ret_std_120,0.0018663252811320016,2.5230902053160104e-05,72.33333333333333,50.464508980734834,volatility
linreg_slope_20,0.0011188412210883954,2.8991515708873572e-05,73.83333333333333,30.452695556660768,trend
pdi_28,0.0008306800113621759,5.598644733173508e-05,74.66666666666667,46.5259784063341,trend
pv_corr_60,0.005849609193572562,7.133243527832377e-07,76.83333333333333,78.92887093242032,volume
vwap_ratio_5,0.0012521116944540995,2.2165089218829768e-05,77.0,32.02499024199695,volume
willr_14,0.0015781143895390575,2.154665586531459e-05,77.33333333333333,50.9967319214346,momentum
cs_rank_roc_120,0.0013078953352221288,3.5611068032872753e-05,77.41666666666667,43.895804659063565,cross_section
linreg_slope_5,0.0013273018586811532,1.3409942125767552e-05,77.66666666666667,26.143195418056045,trend
willr_28,0.0009752283424460292,3.076969052068841e-05,78.66666666666667,45.33725473235744,momentum
range_ratio,0.009879405800655298,-7.487708139487638e-05,78.83333333333333,94.05618888019366,candle
linreg_slope_10,0.0012534567740711915,1.6826523285594517e-05,81.66666666666667,27.148971742345356,trend
