,gain_mean,perm_mean,rank_mean,rank_std,family
mkt_roc_60,0.05341794683489332,0.002828346654985042,1.5,0.8366600265340756,cross_section
up_ratio_120,0.019677663012867937,0.0029522086328928553,3.6666666666666665,2.581988897471611,momentum
mkt_roc_20,0.0272207624964269,0.0016670535649939082,4.333333333333333,1.9663841605003503,cross_section
range_ratio,0.017836788217351563,0.0022447016422919453,5.333333333333333,2.6583202716502514,candle
close_pos,0.018815890437031805,0.0015917618493916064,5.833333333333333,1.4719601443879744,candle
dist_high_120,0.011150510207401284,0.0014827365229639223,10.666666666666666,5.819507424745385,volatility
close_pos_ma20,0.012147625587471554,0.0008512092631787574,11.166666666666666,3.1885210782848317,candle
parkinson_120,0.011911713294929974,0.0006607879200757463,12.833333333333334,2.9268868558020253,volatility
cs_idio_std_60,0.011843659482928827,0.0005130643992934639,15.0,3.521363372331802,cross_section
ev_vol_vs_max20,0.012569955988500003,0.00044529263616497087,15.0,4.2895221179054435,event
adx_14,0.009353328564049622,0.000663163378442238,15.833333333333334,6.853223086013373,trend
cs_beta_60,0.016797781435293712,0.00040148589110735846,17.0,15.086417732516887,cross_section
cs_rank_ret_std_60,0.00958657134044256,0.00046088721539298355,18.333333333333332,3.5023801430836525,cross_section
lower_shadow,0.007658517045871262,0.0006807746013732796,20.0,9.959919678390985,candle
eom_14,0.009069758619085716,0.00044286410466182815,20.333333333333332,5.573747990954261,volume
upper_shadow,0.008005715944811974,0.0006308675231467708,20.333333333333332,9.39503414930817,candle
atr_ratio_28,0.007562850345828897,0.000427974902647109,24.833333333333332,11.583033569262703,volatility
ev_range_x_atr,0.008684728943050926,0.00027527595918291285,25.333333333333332,4.033195589934446,event
donchian_pos_120,0.006172056517552308,0.0005917870551055292,27.166666666666668,14.729788412148581,volatility
vol_sma_ratio_120,0.006876647024487961,0.0003657684056600373,28.833333333333332,11.303391821336934,volume
gk_vol_5,0.008029299676121213,0.00022684385736224417,29.0,6.0,volatility
cs_rank_roc_5,0.02237963785547618,0.00028825878651701,30.833333333333332,49.93362260708376,cross_section
vol_sma_ratio_5,0.009835461491089628,0.00018599124593235121,31.5,23.1062762036638,volume
vol_sma_ratio_60,0.007936208767538526,0.00026522415485464977,31.666666666666668,14.375905768565216,volume
ret_lag_9,0.0072152456180071545,0.0002270663309700518,33.833333333333336,12.040210407906775,momentum
ret_std_120,0.0074184444777697705,0.00016233504693335336,36.5,7.993747556684537,volatility
ev_limit_up_lock,0.004230246889628146,0.000779495145392464,40.166666666666664,33.05399622839373,event
cs_excess_roc_5,0.027191600073830438,0.0005682051817245867,42.166666666666664,82.79714165758783,cross_section
parkinson_5,0.007308926144741011,0.00012717511975520365,42.666666666666664,19.469634476966093,volatility
body_range_ma20,0.004970643627416911,0.0001834688396251548,46.333333333333336,15.305772331596557,candle
gk_vol_120,0.00467786182953692,0.0002047357603381064,48.5,18.918245161747958,volatility
lower_shadow_ma20,0.006310995264074696,0.0001055128603056035,48.833333333333336,16.32686946927263,candle
wma_ratio_5,0.008114850925153209,0.00010190446768271807,49.166666666666664,33.301151131254706,trend
hurst_120,0.004680240353509679,0.00015417585543300554,50.833333333333336,12.221565638929683,stats
gap_ma20,0.004767245117605443,0.0001240266749609198,53.5,10.03493896344168,candle
ulcer_14,0.008478239075222832,4.5159006771119024e-05,55.5,35.455606044742765,volatility
sma_ratio_5,0.013408210996943793,8.264886787470418e-05,56.0,89.27261618211936,trend
cs_rank_roc_120,0.004415519167719185,0.00013745034611714304,57.5,17.23658898970443,cross_section
ret_lag_1,0.007117593673359356,0.00011156164943263804,59.333333333333336,50.79632532641182,momentum
