,mean_abs_shap,dir_rho_mean,dir_sign_consistent,family
close_pos,0.04195306822657585,-0.958382551641941,True,candle
cumret_ex1_120,0.0407366119325161,0.7643240872099318,True,stats
up_ratio_120,0.01705818623304367,0.6499457624476381,True,momentum
upper_shadow,0.01243127603083849,0.8818245660255112,True,candle
skew_60,0.011758306063711643,-0.9125305262499556,True,stats
ev_days_since_spike3,0.010059191845357418,0.8164514447152955,True,event
mdd_60,0.009874901734292507,-0.04337758763024172,False,volatility
obv_slope_60,0.009290739893913269,0.8251142058049795,True,volume
hurst_120,0.005423530470579863,0.6209230222020505,True,stats
bb_bw_20,0.005326075479388237,-0.4931709433660077,True,volatility
sma_cross_10_60,0.00522250309586525,0.6521771707476064,True,trend
skew_20,0.005095822736620903,-0.8141014599295101,True,stats
cs_rank_roc_5,0.004853080492466688,-0.8002832858403773,True,cross_section
donchian_pos_120,0.004694676958024502,0.7219576735392278,True,volatility
wma_ratio_5,0.00462975213304162,-0.8963798523117904,True,trend
upper_shadow_ma20,0.004483338911086321,0.35008537014932334,True,candle
cs_rank_ret_std_20,0.004261186812072992,-0.7703104044643615,True,cross_section
eom_14,0.004215906374156475,-0.4822968256133082,True,volume
ev_vol_vs_max20,0.004126619081944227,0.816177495840159,True,event
adx_28,0.003528853179886937,0.8126740967097996,True,trend
bb_bw_60,0.003233158029615879,0.7571961854855996,True,volatility
lower_shadow,0.003232584334909916,-0.7026764843481584,True,candle
pv_corr_60,0.003060487098991871,-0.46156223777888655,True,volume
mkt_roc_60,0.003054867498576641,-0.6062843047575625,True,cross_section
updown_mag_ratio_20,0.0030535885598510504,-0.6098405670728088,True,stats
pv_corr_20,0.0030288000125437975,-0.7686786740926338,True,volume
aroon_dn_25,0.003011586843058467,-0.48784524875641333,True,trend
stoch_d_14_3,0.002894716104492545,0.7252774866980826,True,momentum
ev_days_since_limit_up,0.002737879753112793,-0.4510361810351169,True,event
dist_low_120,0.0026398429181426764,-0.036623932195096624,False,volatility
cs_beta_60,0.002637408673763275,-0.26941279128314166,True,cross_section
parkinson_5,0.0025082107167690992,-0.48759501374909425,True,volatility
force_13,0.0024563029874116182,-0.7165896045666854,True,volume
mkt_roc_20,0.0022415209095925093,0.16508057712849142,False,cross_section
ulcer_14,0.0021842296700924635,-0.40092285481428575,True,volatility
