,gain_mean,perm_mean,rank_mean,rank_std,family
close_pos,0.08871525552927116,0.009761769691902936,2.5,2.1213203435596424,candle
mkt_roc_60,0.09206551283441129,0.0028107310703700725,3.0,0.0,cross_section
upper_shadow,0.03380229181365386,0.006389366471928855,3.5,2.1213203435596424,candle
lower_shadow,0.02228194194839568,0.0017275503047433267,5.5,2.1213203435596424,candle
body_range,0.02968116409708137,0.0003854719050733202,7.0,1.4142135623730951,candle
cci_14,0.011511313148891048,0.0009882736242063557,7.5,3.5355339059327378,momentum
gap,0.021880561631126918,0.0005056703388472602,7.5,0.7071067811865476,candle
dow_3,0.006820985861789464,0.0005967274735872996,13.0,9.899494936611665,stats
up_ratio_120,0.0114109872470262,0.00018989439313861953,14.5,4.949747468305833,momentum
cs_rank_roc_120,0.006706207681427018,0.00035650496374713586,15.0,8.48528137423857,cross_section
lower_shadow_ma5,0.006621998360100421,0.0002083810225224821,18.5,4.949747468305833,candle
upper_shadow_ma5,0.005351502295099518,0.0002857298715429983,19.0,11.313708498984761,candle
close_pos_ma5,0.005228608292110915,0.0003422217688293279,19.5,13.435028842544403,candle
ret_lag_2,0.007149814492585733,0.0001764594249067386,20.0,1.4142135623730951,momentum
hurst_120,0.004919712178840815,0.00020889938327506297,23.0,12.727922061357855,stats
up_ratio_60,0.010483655898519672,9.715022976760264e-05,23.5,16.263455967290593,momentum
autocorr_60,0.004736973995742519,0.00015211531901911565,29.0,7.0710678118654755,stats
ret_z_20,0.004562798357101444,0.00016239299903094326,29.5,9.192388155425117,stats
roc_5,0.0035896253769239364,0.0001872366161892088,35.5,23.33452377915607,momentum
eom_14,0.003920034079381934,0.00012843565736886386,35.5,12.020815280171307,volume
cs_excess_roc_5,0.004135884954165199,9.694759783707152e-05,38.0,2.8284271247461903,cross_section
dow_1,0.00286357473977543,0.00020542636623299693,43.0,38.18376618407357,stats
ad_roc_10,0.002949778328131532,0.0001694191434131742,44.5,31.81980515339464,volume
donchian_pos_5,0.003883453653079052,8.343723167754853e-05,44.5,3.5355339059327378,volatility
dow_0,0.004841569324938941,5.2198927781077487e-05,45.5,17.67766952966369,stats
ret_lag_6,0.005135749187720358,3.4070438553523985e-05,46.5,23.33452377915607,momentum
ret_lag_10,0.0030442062233294997,0.00012085345327028651,46.5,24.748737341529164,momentum
aroon_dn_25,0.0038910170898720144,7.438476798996933e-05,47.0,1.4142135623730951,trend
gk_vol_60,0.0027583843455136377,0.00018001726461743436,47.5,38.890872965260115,volatility
linreg_slope_5,0.0035723645417291786,7.612834506665056e-05,50.0,4.242640687119285,trend
bb_bw_60,0.0026521485920848755,0.00012260645508791837,53.0,35.35533905932738,volatility
vol_sma_ratio_60,0.002460761565993812,0.00014960362555449525,55.5,43.1335136523794,volume
gap_ma5,0.004681418796445221,1.3194637337473244e-05,55.5,28.991378028648448,candle
linreg_slope_120,0.002748943774561857,8.843705675439424e-05,58.0,25.45584412271571,trend
ret_lag_5,0.003636737608819803,2.154495782384173e-05,58.5,12.020815280171307,momentum
cs_idio_std_60,0.002609089195117643,8.380008420435144e-05,61.0,28.284271247461902,cross_section
parkinson_10,0.0029214483426496895,5.370688633395589e-05,62.5,7.7781745930520225,volatility
ret_lag_7,0.0028421928204834033,5.3711598704375696e-05,63.5,10.606601717798213,momentum
cs_excess_roc_20,0.00206277189750511,0.00011301206879540023,65.5,50.204581464244875,cross_section
ret_std_120,0.0033049639229891068,1.3915630020511216e-05,67.0,11.313708498984761,volatility
body_range_ma5,0.0024615273479878888,6.696749685808356e-05,68.5,23.33452377915607,candle
macd_hist_12_26_9,0.0015003521204222264,0.0002466501831716779,70.5,81.31727983645297,trend
adx_14,0.002156005902287563,8.105748458638502e-05,71.5,38.890872965260115,trend
ret_lag_1,0.004363804462928287,-1.182804989989054e-06,72.0,46.66904755831214,momentum
ema_ratio_5,0.0014271472724846149,0.0002502221599937071,72.0,84.8528137423857,trend
pv_corr_20,0.0076463909312316425,-1.9801380747234514e-05,72.5,77.07463914933368,volume
sma_ratio_10,0.002007890541239183,8.333827189754839e-05,72.5,41.71930009000631,trend
uo_7_14_28,0.0022335488027538618,6.859326467290039e-05,72.5,31.81980515339464,momentum
dist_low_120,0.00226421636926501,6.410708797814173e-05,73.5,28.991378028648448,volatility
cci_60,0.0028190240138671174,9.014764723702662e-06,75.0,4.242640687119285,momentum
vol_ratio_5_60,0.003200860063012552,9.660359478654474e-07,75.5,20.506096654409877,volatility
ema_ratio_120,0.0016838079538695017,0.00010814419009201141,76.0,63.63961030678928,trend
willr_14,0.0017126611829775455,9.134930170954607e-05,78.5,57.27564927611035,momentum
stoch_k_60_3,0.0014583574480885463,0.00010354491650577113,81.5,70.0035713374682,momentum
vol_z_60,0.0039295934753325506,-1.643203585569945e-05,82.0,55.154328932550705,volume
cs_beta_60,0.005129333765868676,-2.7171528174293098e-05,82.0,72.12489168102785,cross_section
skew_60,0.004496982844771792,-2.02160693492844e-05,82.5,64.34671708797582,stats
trix_15,0.0026895643656501406,2.1629780492249395e-06,82.5,7.7781745930520225,trend
sma_ratio_120,0.001688752352317879,7.617546877144073e-05,83.0,52.32590180780452,trend
bb_bw_20,0.0017730742941734353,6.302324276830085e-05,83.5,41.71930009000631,volatility
stoch_d_14_3,0.002198768236757707,1.7204864613947397e-05,83.5,17.67766952966369,momentum
pdi_14,0.0013245157520110353,0.000100100173686594,85.0,73.53910524340094,trend
obv_slope_20,0.0013029451604305096,9.793719563729504e-05,86.0,73.53910524340094,volume
range_ratio,0.008118096094330167,-7.069969427653255e-05,86.5,101.1162697096763,candle
atr_ratio_28,0.0014844313567135444,7.913954980195055e-05,87.0,59.39696961966999,volatility
dist_high_120,0.0018582432401741712,2.6521221048255345e-05,87.0,29.698484809834994,volatility
cumret_ex1_120,0.002400893132047331,2.7096130245836867e-06,87.0,1.4142135623730951,stats
macd_signal_12_26_9,0.0016198062149002383,5.5153584070636676e-05,89.0,48.08326112068523,trend
sma_cross_20_120,0.00412682417197552,-3.8467080209270144e-05,89.5,68.58935777509511,trend
parkinson_120,0.0039439780687042306,-3.8891193552270664e-05,90.5,68.58935777509511,volatility
cs_rank_ret_std_60,0.0012095202271886936,9.450187755910555e-05,91.5,77.07463914933368,cross_section
cumret_ex1_20,0.0010091598455289285,0.00014457081388437784,91.5,92.63098833543772,stats
linreg_slope_10,0.0009001787081871993,0.00019772635287248116,91.5,105.35891039679558,trend
obv_slope_60,0.0027883594555837875,-1.452352581221561e-05,95.0,29.698484809834994,volume
donchian_pos_120,0.0014237418645868189,4.763264078825694e-05,96.0,52.32590180780452,volatility
mdd_60,0.0017561744463169121,7.671739137589858e-06,96.5,24.748737341529164,volatility
pv_corr_60,0.011553932968568284,-0.0001791596131906307,97.5,125.15790027001891,volume
ulcer_14,0.0029601832241134187,-2.169575367923689e-05,98.5,45.96194077712559,volatility
wma_ratio_10,0.00239854220200708,-2.700188283818091e-06,99.5,14.849242404917497,trend
mdi_28,0.0018734748376910315,4.712370419805249e-09,99.5,10.606601717798213,trend
mkt_roc_20,0.10589414359002161,-0.0013219801395826976,100.5,140.71424945612296,cross_section
vortex_pos_14,0.003323691645273918,-4.41784732282402e-05,100.5,60.10407640085654,trend
lower_shadow_ma20,0.002318664916753533,-4.561574622437743e-06,101.5,13.435028842544403,candle
mkt_roc_5,0.10277515282312125,-0.0014031554334310952,101.5,140.71424945612296,cross_section
upper_shadow_ma20,0.0034466879280083537,-5.623271691009476e-05,101.5,67.17514421272202,candle
autocorr_20,0.0033810051537311986,-5.0483624927359173e-05,101.5,64.34671708797582,stats
turnover_z_60,0.01021322599436625,-0.00023290419848842614,102.0,125.86500705120545,volume
ret_z_60,0.005473868354105953,-0.0001166547311747997,102.0,107.48023074035522,stats
cmo_14,0.0016720563118960672,4.556862251869909e-06,102.5,27.577164466275352,momentum
vol_z_20,0.003277538285995236,-4.929610756695032e-05,103.0,60.81118318204309,volume
ret_lag_8,0.0036889924061715984,-6.39515797525118e-05,103.0,76.36753236814714,momentum
ret_std_60,0.0059566208578398765,-0.00013083425394203965,103.5,112.42997820866105,volatility
kurt_60,0.004365634969555916,-8.66604930844413e-05,104.5,94.04520189781083,stats
stochrsi_14,0.0025074990855120218,-2.0489386837000783e-05,106.0,32.526911934581186,momentum
sma_cross_10_60,0.002396835408748491,-1.8147338709528782e-05,106.0,22.627416997969522,trend
dow_2,0.00825627076655192,-0.0006086827574892281,106.5,130.8147545195113,stats
vol_sma_ratio_10,0.007972395588163182,-0.00047024744996670975,106.5,127.9863273947651,volume
cs_excess_roc_10,0.0021900678778635453,-1.4660184556092304e-05,107.0,14.142135623730951,cross_section
turnover_z_20,0.007746929665214656,-0.00048158070096560035,107.5,127.9863273947651,volume
ret_lag_9,0.0061613600911181185,-0.0002454673781818369,107.5,119.50104602052653,momentum
mdd_20,0.0011524856378544708,1.8246298489454915e-05,109.0,55.154328932550705,volatility
dist_low_20,0.0006384203027423048,9.098644918278016e-05,109.5,99.7020561473032,volatility
cs_excess_roc_120,0.0038971407136252903,-0.00010128297867665707,109.5,91.21677477306463,cross_section
vol_sma_ratio_120,0.0058765403291943345,-0.0002903102956474483,110.0,120.20815280171308,volume
sma_ratio_20,0.000793360204625699,6.764136583640538e-05,110.5,84.14570696119915,trend
vol_sma_ratio_5,0.0052904251176126675,-0.00025216836900114153,111.0,117.37972567696688,volume
updown_mag_ratio_20,0.001841494931794011,-1.1201304625470717e-05,112.0,4.242640687119285,stats
linreg_slope_20,0.0009665379576950664,3.616744341609449e-05,112.0,70.71067811865476,trend
kurt_20,0.0009535272783724207,2.9216696961468596e-05,113.5,70.0035713374682,stats
ret_lag_4,0.0030514553003154164,-8.041188983098913e-05,114.0,72.12489168102785,momentum
cs_rank_roc_60,0.0009691723192001026,1.4485826848265049e-05,116.0,62.22539674441618,cross_section
cs_rank_ret_std_20,0.0010784261711950134,6.418248590489561e-06,116.5,50.204581464244875,cross_section
vol_sma_ratio_20,0.003617327394848642,-0.00012806809247167816,116.5,92.63098833543772,volume
wma_ratio_5,0.0028151347513261206,-7.310771559062197e-05,116.5,61.518289963229634,trend
skew_20,0.0014796273108943294,-7.162803126551746e-07,117.0,18.384776310850235,stats
ret_lag_3,0.0034094641169807646,-0.00012102781097803976,117.5,88.38834764831844,momentum
ret_std_5,0.0018905228407676217,-2.051294868935886e-05,117.5,17.67766952966369,volatility
bb_pctb_60,0.0009968473570815604,1.0291817123161037e-05,117.5,57.27564927611035,volatility
body_range_ma20,0.0016017412428067164,-5.334403380796715e-06,118.25,8.131727983645296,candle
sma_ratio_5,0.0037133680761858665,-0.00022222596698603012,119.0,100.40916292848975,trend
close_pos_ma20,0.0028869428414846996,-8.468600985430304e-05,119.0,70.71067811865476,candle
gk_vol_120,0.0024624269961198947,-6.152942132697792e-05,119.5,50.204581464244875,volatility
bb_pctb_20,0.0004340716690448864,7.285324758473284e-05,119.5,99.7020561473032,volatility
obv_slope_10,0.001719269695452335,-1.879764583549252e-05,120.0,4.242640687119285,volume
dist_high_60,0.0006925133153055151,2.681338801791e-05,120.5,78.48885271170677,volatility
aroon_osc_25,0.0006956873246790756,2.1380024857187152e-05,121.0,74.95331880577403,trend
gk_vol_10,0.001913291929112509,-3.980068105443232e-05,122.0,25.45584412271571,volatility
sma_ratio_60,0.0005751537934533357,4.707658107183654e-05,122.5,88.38834764831844,trend
parkinson_20,0.0023687120509149396,-6.119955539363175e-05,122.5,44.54772721475249,volatility
force_13,0.0012809464604285469,-1.281764769989202e-06,122.5,23.33452377915607,volume
cci_20,0.0015906059115076215,-1.5107859751450903e-05,122.5,4.949747468305833,momentum
macd_signal_5_35_5,0.0005812189447783872,3.850949154341846e-05,122.5,86.97413408594535,trend
cs_rank_roc_5,0.0010327265842813463,5.513473458525672e-07,123.0,45.254833995939045,cross_section
aroon_up_25,0.000708187028304593,1.4184235137733777e-05,123.0,69.29646455628166,trend
stoch_k_14_3,0.0018236256825229378,-3.802411738436836e-05,123.5,17.67766952966369,momentum
pdi_28,0.002555489155888209,-8.074646813494013e-05,124.0,59.39696961966999,trend
donchian_pos_10,0.0009372524838523349,4.269407652672068e-06,124.5,55.86143571373726,volatility
mdi_14,0.0010986963622938218,0.0,124.5,37.476659402887016,trend
range_ratio_ma20,0.0018185571946770424,-3.816548849870186e-05,124.5,17.67766952966369,candle
mfi_14,0.002188240567477973,-5.958792469018537e-05,125.0,38.18376618407357,volume
vwap_ratio_5,0.003357833150872855,-0.0002464475512412208,125.0,96.16652224137046,volume
pvt_roc_10,0.0010495797105995615,0.0,126.0,39.59797974644666,volume
gap_ma20,0.0030116004180319677,-0.00020450274161953885,126.5,86.97413408594535,candle
roc_10,0.000566524080909352,1.9711845708073977e-05,128.0,83.43860018001261,momentum
mom_accel_5_20,0.003124796646590298,-0.00040254011094357595,129.0,94.75230867899737,momentum
ao_5_34,0.002610730559421177,-0.00012046232652070572,129.5,70.0035713374682,momentum
cs_rank_turnover_z_20,0.0026355130922479137,-0.00012630095354260185,130.0,72.12489168102785,cross_section
roc_120,0.0021083055618531564,-7.321138774115295e-05,130.5,43.1335136523794,momentum
ret_std_20,0.0023162933051470297,-8.505357475152575e-05,131.5,54.44722215136416,volatility
wma_ratio_60,0.00036290595303448153,1.4372729956820448e-05,132.5,84.14570696119915,trend
dist_high_20,0.0005744510432327706,6.705703189613388e-06,133.0,74.95331880577403,volatility
psar_dist,0.0006399174601247836,2.3985965730647743e-06,133.0,65.05382386916237,trend
cumret_ex1_60,0.0015617348210469047,-3.9819530536370586e-05,134.0,9.899494936611665,stats
rsi_6,0.0011081531964772465,-1.6097457551748445e-05,135.0,21.213203435596427,momentum
cmf_20,0.001228572838077916,-1.9730695190049257e-05,135.0,12.727922061357855,volume
parkinson_5,0.001972687883277228,-8.183973808573164e-05,135.5,45.96194077712559,volatility
gk_vol_20,0.0009282860848104643,-1.762426558656512e-06,136.5,40.30508652763321,volatility
donchian_pos_20,0.0005095695386372403,4.2694076527090745e-06,136.5,74.24621202458749,volatility
aroon_dn_14,0.002448354318370157,-0.0001803047192166692,137.0,70.71067811865476,trend
adx_28,0.0017216672530237743,-7.19107734893365e-05,137.5,30.405591591021544,trend
macd_diff_5_35_5,0.00031493884389719096,4.7406447004627594e-06,138.0,79.19595949289332,trend
sma_cross_5_20,0.0007686822547192192,-1.6728915196069967e-06,139.0,45.254833995939045,trend
wma_ratio_20,0.0005858236014974993,0.0,140.5,60.10407640085654,trend
dist_low_60,0.0010171590993271133,-1.9669434373925654e-05,140.5,21.920310216782973,volatility
keltner_pos_20_10,0.0003488578581464493,1.8660987090764654e-06,141.0,73.53910524340094,volatility
up_ratio_10,0.0017308502444685855,-8.133080207417542e-05,141.0,36.76955262170047,momentum
cs_rank_vol_z_20,0.001370969652050221,-5.23638607479171e-05,141.5,9.192388155425117,cross_section
roc_60,0.0006978188891063654,-5.334403380796715e-06,142.75,42.77996026178612,momentum
ema_ratio_20,0.0005165465590198106,0.0,143.0,63.63961030678928,trend
pvt_roc_20,0.001343811559317969,-5.83391465136159e-05,143.5,10.606601717798213,volume
wma_ratio_120,0.001835562518521456,-0.00011474150876089606,143.5,47.37615433949868,trend
stoch_d_60_3,0.0016006573407208204,-7.790490873689955e-05,144.0,26.870057685088806,momentum
ema_ratio_10,0.0004063964901527496,0.0,144.5,65.76093065034893,trend
cs_rank_roc_20,0.001225287853299984,-4.558747200104444e-05,144.5,0.7071067811865476,cross_section
ppo_12_26,0.0006340358106966678,-2.431583166521515e-06,145.0,50.91168824543142,momentum
vortex_neg_14,0.0011496710647016756,-4.2910845569695453e-05,145.5,4.949747468305833,trend
macd_hist_5_35_5,0.0018859640595227437,-0.00016888664554929692,145.5,55.86143571373726,trend
aroon_osc_14,0.0008527669696091414,-1.912751176887569e-05,146.0,31.11269837220809,trend
range_ratio_ma5,0.001200332347373677,-4.659591928328025e-05,146.0,1.4142135623730951,candle
cs_excess_roc_60,0.0009666597909217205,-2.4829480046895114e-05,146.5,20.506096654409877,cross_section
roc_20,0.001715884311070957,-0.00010635820168107084,146.5,40.30508652763321,momentum
willr_28,0.0012436859866244182,-5.629397772632938e-05,146.5,4.949747468305833,momentum
rsi_28,0.00030258706047394215,0.0,146.5,68.58935777509511,momentum
aroon_up_14,0.00127168967339506,-5.9856529807444936e-05,147.0,8.48528137423857,trend
tsi_25_13,0.00027469519517174545,0.0,147.5,70.0035713374682,momentum
cs_rank_excess_roc_20,0.0002617264430243217,0.0,148.0,70.71067811865476,cross_section
cs_rank_rsi_14,0.0006406242996550397,-1.4745007224685006e-05,148.0,42.42640687119285,cross_section
pv_diverge_20,0.00023256538760402587,0.0,148.5,71.4177848998413,volume
vwap_ratio_20,9.750272706063281e-05,0.0,149.0,72.12489168102785,volume
macd_diff_12_26_9,0.0,0.0,149.5,72.8319984622144,trend
linreg_slope_60,0.000808746067825383,-3.2406971774978643e-05,151.5,24.748737341529164,trend
atr_ratio_14,0.0010620766410150589,-6.373952308103004e-05,154.5,2.1213203435596424,volatility
ad_roc_20,0.0006931912946501362,-3.670465365061363e-05,155.0,28.284271247461902,volume
up_ratio_20,0.0014185896163975988,-0.00010992546613271721,155.0,29.698484809834994,momentum
ema_ratio_60,0.0002800465504397103,-9.928964596580178e-06,155.0,57.982756057296896,trend
ret_std_10,0.0012731324946625652,-0.00014588556524778676,162.0,31.11269837220809,volatility
gk_vol_5,0.001253320118234903,-0.00020570910846181198,165.5,33.23401871576773,volatility
parkinson_60,0.000996269871347505,-9.090162651433549e-05,165.5,9.192388155425117,volatility
up_ratio_5,0.0008736436006347594,-7.934689410304951e-05,165.5,2.1213203435596424,momentum
rsi_14,0.0006064225354926111,-7.334804648495563e-05,172.0,14.142135623730951,momentum
donchian_pos_60,0.0006559845929182653,-9.120793059536059e-05,175.0,2.8284271247461903,volatility
